timestamp,total_power_watts
2024-01-15 00:00:00,159.93
2024-01-15 00:01:00,147.23
2024-01-15 00:02:00,162.95
2024-01-15 00:03:00,180.46
2024-01-15 00:04:00,145.32
2024-01-15 00:05:00,145.32
2024-01-15 00:06:00,181.58
2024-01-15 00:07:00,165.35
2024-01-15 00:08:00,140.61
2024-01-15 00:09:00,160.85
2024-01-15 00:10:00,140.73
2024-01-15 00:11:00,140.69
2024-01-15 00:12:00,154.84
2024-01-15 00:13:00,111.73
2024-01-15 00:14:00,115.5
2024-01-15 00:15:00,138.75
2024-01-15 00:16:00,129.74
2024-01-15 00:17:00,156.28
2024-01-15 00:18:00,131.84
2024-01-15 00:19:00,121.75
2024-01-15 00:20:00,179.31
2024-01-15 00:21:00,145.48
2024-01-15 00:22:00,151.35
2024-01-15 00:23:00,121.51
2024-01-15 00:24:00,139.11
2024-01-15 00:25:00,152.22
2024-01-15 00:26:00,126.98
2024-01-15 00:27:00,157.51
2024-01-15 00:28:00,137.99
2024-01-15 00:29:00,144.17
2024-01-15 00:30:00,0.0
2024-01-15 00:31:00,37.05
2024-01-15 00:32:00,0.0
2024-01-15 00:33:00,0.0
2024-01-15 00:34:00,16.45
2024-01-15 00:35:00,0.0
2024-01-15 00:36:00,4.18
2024-01-15 00:37:00,0.0
2024-01-15 00:38:00,0.0
2024-01-15 00:39:00,3.94
2024-01-15 00:40:00,14.77
2024-01-15 00:41:00,3.43
2024-01-15 00:42:00,0.0
2024-01-15 00:43:00,0.0
2024-01-15 00:44:00,0.0
2024-01-15 00:45:00,0.0
2024-01-15 00:46:00,0.0
2024-01-15 00:47:00,21.14
2024-01-15 00:48:00,6.87
2024-01-15 00:49:00,0.0
2024-01-15 00:50:00,156.48
2024-01-15 00:51:00,142.3
2024-01-15 00:52:00,136.46
2024-01-15 00:53:00,162.23
2024-01-15 00:54:00,170.62
2024-01-15 00:55:00,168.63
2024-01-15 00:56:00,133.22
2024-01-15 00:57:00,143.82
2024-01-15 00:58:00,156.63
2024-01-15 00:59:00,169.51
2024-01-15 01:00:00,140.42
2024-01-15 01:01:00,146.29
2024-01-15 01:02:00,127.87
2024-01-15 01:03:00,126.08
2024-01-15 01:04:00,166.25
2024-01-15 01:05:00,177.12
2024-01-15 01:06:00,148.56
2024-01-15 01:07:00,170.07
2024-01-15 01:08:00,157.23
2024-01-15 01:09:00,137.1
2024-01-15 01:10:00,157.23
2024-01-15 01:11:00,180.76
2024-01-15 01:12:00,149.28
2024-01-15 01:13:00,181.29
2024-01-15 01:14:00,97.61
2024-01-15 01:15:00,166.44
2024-01-15 01:16:00,151.74
2024-01-15 01:17:00,144.02
2024-01-15 01:18:00,151.84
2024-01-15 01:19:00,110.25
2024-01-15 01:20:00,0.0
2024-01-15 01:21:00,7.14
2024-01-15 01:22:00,29.56
2024-01-15 01:23:00,0.0
2024-01-15 01:24:00,0.0
2024-01-15 01:25:00,0.0
2024-01-15 01:26:00,18.31
2024-01-15 01:27:00,6.58
2024-01-15 01:28:00,0.0
2024-01-15 01:29:00,10.27
2024-01-15 01:30:00,1.94
2024-01-15 01:31:00,19.37
2024-01-15 01:32:00,0.0
2024-01-15 01:33:00,0.0
2024-01-15 01:34:00,0.0
2024-01-15 01:35:00,0.0
2024-01-15 01:36:00,5.92
2024-01-15 01:37:00,5.22
2024-01-15 01:38:00,0.1
2024-01-15 01:39:00,0.0
2024-01-15 01:40:00,121.69
2024-01-15 01:41:00,141.59
2024-01-15 01:42:00,143.15
2024-01-15 01:43:00,133.95
